name,position,location,Company,profile_link
Nat Kilsby,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABdGMMBW807mpOJFWTSZ3_4bMiXxzUDFQk,NAME_SEARCH,sbsz?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Jeneia D. Mullins,Product Manager,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACubNcBHU54GwbP0QExvlc3zvOaLe69Ltg,NAME_SEARCH,wj3j?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Mustafa Al Niama,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEWHo8BbQDc4gImicGC6xUgQePrJ8rEZI8,NAME_SEARCH,eolq?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Anushree Srivastava,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAqsoBwBr2bg4rXAga_0xOciljFq22-PG3w,NAME_SEARCH,86EU?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Simon Bäckerling,Executive Director Information Security,"Frankfurt, Hesse, Germany",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAESUdsBm9MpwdVes1vcGZqE70e5AsZGzGg,NAME_SEARCH,c40c?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Rob Basinger,Head of Marketing- Consumer & Investment Management EMEA; and Head of Product & Marketing- Marcus UK,"Reading, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAVK2yUB-RrjDNTJheuE2ZLrhC2ptBm9R-c,NAME_SEARCH,AjvC?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Yakhya Azashikov,"Executive Director, Investment Banking (Healthcare)","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAWyImYBcF9r6x1NhDCYJK-iG652xIWQtUQ,NAME_SEARCH,Wu_C?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Kome Emuh,"Vice President, COO of Securities Division Operations and Engineering","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALng94B8kWAyjd1wxq_bB6u-Go0cNR9btg,NAME_SEARCH,rl2Y?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Bradley Safer,"Vice President, Data Engineering, Cloud Data Services Architecture",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGbsxIBeNCKHPq-Xhni3jk3SCQlebzwQno,NAME_SEARCH,r2fB?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Karthik Ravindra,"Vice President, Data Engineering - Consumer Credit Card",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFDnhMBn7aiyA_4_Sw_nUMb1OVPg4tTRRY,NAME_SEARCH,pEJd?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Vicki Tung,Global Head Campus Recruiting,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAayOLUBaOeqal1X1WiUyJTxbL2YPNaF1hw,NAME_SEARCH,GQfA?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Andreza Barbosa,Head of Governance - Model Risk Management,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAKrmkBulLj2MTggkXDbnLSVgMVeic2vqg,NAME_SEARCH,lGAr?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Elisabeth Job Kozack,"Managing Director, Product & Partnerships Strategy - Digital Lending, Marcus by Goldman Sachs","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAATuBwB4Q1s7fJeush7A-NNXt8s0jjB7L8,NAME_SEARCH,C2qz?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Farah K.,"Associate, Asset Management","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAgviLABcbqa6IHWyzygzbav1Vfm0hu0hXU,NAME_SEARCH,2B1I?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Niamh W.,"Head of ESG Research, FI","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADPx9EBuyl0VeF85QVFnnpBvTaGk6KpZ_s,NAME_SEARCH,AUBt?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
